"id","name_th","name_en","province_id","created_at","updated_at","deleted_at"
"1029","เขตบางซื่อ","Khet Bang Sue","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1030","เขตจตุจักร","Khet Chatuchak","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1031","เขตบางคอแหลม","Khet Bang Kho Laem","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1032","เขตประเวศ","Khet Prawet","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1033","เขตคลองเตย","Khet Khlong Toei","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1034","เขตสวนหลวง","Khet Suan Luang","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1035","เขตจอมทอง","Khet Chom Thong","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1036","เขตดอนเมือง","Khet Don Mueang","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1037","เขตราชเทวี","Khet Ratchathewi","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1038","เขตลาดพร้าว","Khet Lat Phrao","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1039","เขตวัฒนา","Khet Watthana","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1040","เขตบางแค","Khet Bang Khae","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1041","เขตหลักสี่","Khet Lak Si","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1042","เขตสายไหม","Khet Sai Mai","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1043","เขตคันนายาว","Khet Khan Na Yao","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1044","เขตสะพานสูง","Khet Saphan Sung","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1045","เขตวังทองหลาง","Khet Wang Thonglang","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1046","เขตคลองสามวา","Khet Khlong Sam Wa","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1047","เขตบางนา","Khet Bang Na","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1048","เขตทวีวัฒนา","Khet Thawi Watthana","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1049","เขตทุ่งครุ","Khet Thung Khru","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1050","เขตบางบอน","Khet Bang Bon","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1101","เมืองสมุทรปราการ","Mueang Samut Prakan","2","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1102","บางบ่อ","Bang Bo","2","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1103","บางพลี","Bang Phli","2","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1104","พระประแดง","Phra Pradaeng","2","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1105","พระสมุทรเจดีย์","Phra Samut Chedi","2","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1106","บางเสาธง","Bang Sao Thong","2","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1201","เมืองนนทบุรี","Mueang Nonthaburi","3","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1202","บางกรวย","Bang Kruai","3","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1203","บางใหญ่","Bang Yai","3","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1204","บางบัวทอง","Bang Bua Thong","3","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1205","ไทรน้อย","Sai Noi","3","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1206","ปากเกร็ด","Pak Kret","3","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1301","เมืองปทุมธานี","Mueang Pathum Thani","4","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1302","คลองหลวง","Khlong Luang","4","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1303","ธัญบุรี","Thanyaburi","4","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1304","หนองเสือ","Nong Suea","4","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1305","ลาดหลุมแก้ว","Lat Lum Kaeo","4","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1306","ลำลูกกา","Lam Luk Ka","4","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1307","สามโคก","Sam Khok","4","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1401","พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1402","ท่าเรือ","Tha Ruea","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1403","นครหลวง","Nakhon Luang","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1404","บางไทร","Bang Sai","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1405","บางบาล","Bang Ban","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1406","บางปะอิน","Bang Pa-in","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1407","บางปะหัน","Bang Pahan","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1408","ผักไห่","Phak Hai","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1409","ภาชี","Phachi","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1410","ลาดบัวหลวง","Lat Bua Luang","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1411","วังน้อย","Wang Noi","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1412","เสนา","Sena","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1413","บางซ้าย","Bang Sai","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1414","อุทัย","Uthai","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1415","มหาราช","Maha Rat","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1416","บ้านแพรก","Ban Phraek","5","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1501","เมืองอ่างทอง","Mueang Ang Thong","6","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1502","ไชโย","Chaiyo","6","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1503","ป่าโมก","Pa Mok","6","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1504","โพธิ์ทอง","Pho Thong","6","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1505","แสวงหา","Sawaeng Ha","6","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1506","วิเศษชัยชาญ","Wiset Chai Chan","6","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1507","สามโก้","Samko","6","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1601","เมืองลพบุรี","Mueang Lop Buri","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1602","พัฒนานิคม","Phatthana Nikhom","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1603","โคกสำโรง","Khok Samrong","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1604","ชัยบาดาล","Chai Badan","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1605","ท่าวุ้ง","Tha Wung","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1606","บ้านหมี่","Ban Mi","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1607","ท่าหลวง","Tha Luang","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1608","สระโบสถ์","Sa Bot","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1609","โคกเจริญ","Khok Charoen","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1610","ลำสนธิ","Lam Sonthi","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1611","หนองม่วง","Nong Muang","7","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1701","เมืองสิงห์บุรี","Mueang Sing Buri","8","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1702","บางระจัน","Bang Rachan","8","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1703","ค่ายบางระจัน","Khai Bang Rachan","8","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1704","พรหมบุรี","Phrom Buri","8","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1705","ท่าช้าง","Tha Chang","8","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1706","อินทร์บุรี","In Buri","8","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1801","เมืองชัยนาท","Mueang Chai Nat","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1802","มโนรมย์","Manorom","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1803","วัดสิงห์","Wat Sing","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1804","สรรพยา","Sapphaya","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1805","สรรคบุรี","Sankhaburi","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1806","หันคา","Hankha","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1807","หนองมะโมง","Nong Mamong","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1808","เนินขาม","Noen Kham","9","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1901","เมืองสระบุรี","Mueang Saraburi","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1902","แก่งคอย","Kaeng Khoi","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1903","หนองแค","Nong Khae","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1904","วิหารแดง","Wihan Daeng","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1905","หนองแซง","Nong Saeng","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1906","บ้านหมอ","Ban Mo","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1907","ดอนพุด","Don Phut","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1908","หนองโดน","Nong Don","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1909","พระพุทธบาท","Phra Phutthabat","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1910","เสาไห้","Sao Hai","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1911","มวกเหล็ก","Muak Lek","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1912","วังม่วง","Wang Muang","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1913","เฉลิมพระเกียรติ","Chaloem Phra Kiat","10","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2001","เมืองชลบุรี","Mueang Chon Buri","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2002","บ้านบึง","Ban Bueng","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2003","หนองใหญ่","Nong Yai","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2004","บางละมุง","Bang Lamung","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2005","พานทอง","Phan Thong","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2006","พนัสนิคม","Phanat Nikhom","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2007","ศรีราชา","Si Racha","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2008","เกาะสีชัง","Ko Sichang","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2009","สัตหีบ","Sattahip","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2010","บ่อทอง","Bo Thong","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2011","เกาะจันทร์","Ko Chan","11","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2101","เมืองระยอง","Mueang Rayong","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2102","บ้านฉาง","Ban Chang","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2103","แกลง","Klaeng","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2104","วังจันทร์","Wang Chan","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2105","บ้านค่าย","Ban Khai","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2106","ปลวกแดง","Pluak Daeng","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2107","เขาชะเมา","Khao Chamao","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2108","นิคมพัฒนา","Nikhom Phatthana","12","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2201","เมืองจันทบุรี","Mueang Chanthaburi","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2202","ขลุง","Khlung","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2203","ท่าใหม่","Tha Mai","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2204","โป่งน้ำร้อน","Pong Nam Ron","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2205","มะขาม","Makham","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2206","แหลมสิงห์","Laem Sing","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2207","สอยดาว","Soi Dao","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2208","แก่งหางแมว","Kaeng Hang Maeo","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2209","นายายอาม","Na Yai Am","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2210","เขาคิชฌกูฏ","Khoa Khitchakut","13","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2301","เมืองตราด","Mueang Trat","14","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2302","คลองใหญ่","Khlong Yai","14","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2303","เขาสมิง","Khao Saming","14","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2304","บ่อไร่","Bo Rai","14","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2305","แหลมงอบ","Laem Ngop","14","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2306","เกาะกูด","Ko Kut","14","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2307","เกาะช้าง","Ko Chang","14","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2401","เมืองฉะเชิงเทรา","Mueang Chachoengsao","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2402","บางคล้า","Bang Khla","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2403","บางน้ำเปรี้ยว","Bang Nam Priao","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2404","บางปะกง","Bang Pakong","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2405","บ้านโพธิ์","Ban Pho","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2406","พนมสารคาม","Phanom Sarakham","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2407","ราชสาส์น","Ratchasan","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2408","สนามชัยเขต","Sanam Chai Khet","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2409","แปลงยาว","Plaeng Yao","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2410","ท่าตะเกียบ","Tha Takiap","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2411","คลองเขื่อน","Khlong Khuean","15","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2501","เมืองปราจีนบุรี","Mueang Prachin Buri","16","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2502","กบินทร์บุรี","Kabin Buri","16","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2503","นาดี","Na Di","16","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2506","บ้านสร้าง","Ban Sang","16","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2507","ประจันตคาม","Prachantakham","16","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2508","ศรีมหาโพธิ","Si Maha Phot","16","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2509","ศรีมโหสถ","Si Mahosot","16","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2601","เมืองนครนายก","Mueang Nakhon Nayok","17","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2602","ปากพลี","Pak Phli","17","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2603","บ้านนา","Ban Na","17","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2604","องครักษ์","Ongkharak","17","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2701","เมืองสระแก้ว","Mueang Sa Kaeo","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2702","คลองหาด","Khlong Hat","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2703","ตาพระยา","Ta Phraya","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2704","วังน้ำเย็น","Wang Nam Yen","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2705","วัฒนานคร","Watthana Nakhon","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2706","อรัญประเทศ","Aranyaprathet","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2707","เขาฉกรรจ์","Khao Chakan","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2708","โคกสูง","Khok Sung","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"2709","วังสมบูรณ์","Wang Sombun","18","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3001","เมืองนครราชสีมา","Mueang Nakhon Ratchasima","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3002","ครบุรี","Khon Buri","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3003","เสิงสาง","Soeng Sang","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3004","คง","Khong","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3005","บ้านเหลื่อม","Ban Lueam","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3006","จักราช","Chakkarat","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3007","โชคชัย","Chok Chai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3008","ด่านขุนทด","Dan Khun Thot","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3009","โนนไทย","Non Thai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3010","โนนสูง","Non Sung","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3011","ขามสะแกแสง","Kham Sakaesaeng","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3012","บัวใหญ่","Bua Yai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3013","ประทาย","Prathai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3014","ปักธงชัย","Pak Thong Chai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3015","พิมาย","Phimai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3016","ห้วยแถลง","Huai Thalaeng","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3017","ชุมพวง","Chum Phuang","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3018","สูงเนิน","Sung Noen","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3019","ขามทะเลสอ","Kham Thale So","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3020","สีคิ้ว","Sikhio","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3021","ปากช่อง","Pak Chong","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3022","หนองบุญมาก","Nong Bunnak","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3023","แก้งสนามนาง","Kaeng Sanam Nang","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3024","โนนแดง","Non Daeng","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3025","วังน้ำเขียว","Wang Nam Khiao","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3026","เทพารักษ์","Thepharak","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3027","เมืองยาง","Mueang Yang","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3028","พระทองคำ","Phra Thong Kham","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3029","ลำทะเมนชัย","Lam Thamenchai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3030","บัวลาย","Bua Lai","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3031","สีดา","Sida","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3032","เฉลิมพระเกียรติ","Chaloem Phra Kiat","19","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3101","เมืองบุรีรัมย์","Mueang Buri Ram","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3102","คูเมือง","Khu Mueang","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3103","กระสัง","Krasang","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3104","นางรอง","Nang Rong","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3105","หนองกี่","Nong Ki","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3106","ละหานทราย","Lahan Sai","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3107","ประโคนชัย","Prakhon Chai","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3108","บ้านกรวด","Ban Kruat","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3109","พุทไธสง","Phutthaisong","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3110","ลำปลายมาศ","Lam Plai Mat","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3111","สตึก","Satuek","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3112","ปะคำ","Pakham","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3113","นาโพธิ์","Na Pho","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3114","หนองหงส์","Nong Hong","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3115","พลับพลาชัย","Phlapphla Chai","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3116","ห้วยราช","Huai Rat","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3117","โนนสุวรรณ","Non Suwan","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3118","ชำนิ","Chamni","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3119","บ้านใหม่ไชยพจน์","Ban Mai Chaiyaphot","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3120","โนนดินแดง","Din Daeng","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3121","บ้านด่าน","Ban Dan","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3122","แคนดง","Khaen Dong","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3123","เฉลิมพระเกียรติ","Chaloem Phra Kiat","20","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3201","เมืองสุรินทร์","Mueang Surin","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3202","ชุมพลบุรี","Chumphon Buri","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3203","ท่าตูม","Tha Tum","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3204","จอมพระ","Chom Phra","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3205","ปราสาท","Prasat","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3206","กาบเชิง","Kap Choeng","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3207","รัตนบุรี","Rattanaburi","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3208","สนม","Sanom","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3209","ศีขรภูมิ","Sikhoraphum","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3210","สังขะ","Sangkha","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3211","ลำดวน","Lamduan","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3212","สำโรงทาบ","Samrong Thap","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3213","บัวเชด","Buachet","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3214","พนมดงรัก","Phanom Dong Rak","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3215","ศรีณรงค์","Si Narong","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3216","เขวาสินรินทร์","Khwao Sinarin","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3217","โนนนารายณ์","Non Narai","21","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3301","เมืองศรีสะเกษ","Mueang Si Sa Ket","22","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3302","ยางชุมน้อย","Yang Chum Noi","22","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3303","กันทรารมย์","Kanthararom","22","9/8/2019 03:33:09","16/5/2022 06:31:26",
"3304","กันทรลักษ์","Kantharalak","22","9/8/2019 03:33:09","16/5/2022 06:31:26",
